Team,ABRV,Display_ABRV,WC_All_Time,Confederation,MP,W,D,L,GF,GA,PTS,Avg Pts,Part,WC_1930,WC_1934,WC_1938,WC_1950,WC_1954,WC_1958,WC_1962,WC_1966,WC_1970,WC_1974,WC_1978,WC_1982,WC_1986,WC_1990,Qualifiers_1994,FIFA_1994,WC_1994,Qualifiers_1998,FIFA_1998,WC_1998,Qualifiers_2002,FIFA_2002,WC_2002,Qualifiers_2006,FIFA_2006,WC_2006,Qualifiers_2010,FIFA_2010,WC_2010,Qualifiers_2014,FIFA_2014,WC_2014,FIFA_2018
Côte d'Ivoire,CIV,CIV,42,CAF,9,3,1,5,13,14,10,1.11,3,,,,,,,,,,,,,,,,21,,,44,,,46,,21,32,19,21,27,17,22,23,21,68
Slovakia,SVK,SVK,56,UEFA,4,1,1,2,5,7,4,1,1,,,,,,,,,,,,,,,,44,,,40,,,49,,,41,,25,34,16,,49,,28
South Africa,ZAF,RSA,43,CAF,9,2,4,3,11,16,10,1.11,3,,,,,,,,,,,,,,,,76,,20,24,24,28,37,17,,53,,31,83,20,,65,,74
Honduras,HND,HON,62,CONCACAF,9,0,3,6,3,14,3,0.33,3,,,,,,,,,,,,18,,,,50,,,86,,,26,,,42,,27,38,30,25,33,31,62
Cameroon,CMR,CMR,31,CAF,23,4,7,12,18,43,19,0.83,7,,,,,,,,,,,,17,,7,17,24,22,31,49,25,12,17,20,,15,,16,19,31,30,56,32,49
Denmark,DNK,DEN,25,UEFA,16,8,2,6,27,24,26,1.62,4,,,,,,,,,,,,,9,,,9,,22,27,8,15,20,10,,11,,26,36,24,,23,,12
Belgium,BEL,BEL,14,UEFA,41,14,9,18,52,66,51,1.24,12,11,15,13,,12,,,,10,,,10,4,11,18,27,11,28,36,19,18,23,14,,56,,,59,,11,11,6,3
Paraguay,PRY,PAR,22,CONMEBOL,27,7,10,10,30,38,31,1.15,8,9,,,11,,12,,,,,,,13,,,60,,23,29,14,13,18,16,22,33,18,23,31,8,,50,,32
Jamaica,JAM,JAM,60,CONCACAF,3,1,0,2,3,9,3,1,1,,,,,,,,,,,,,,,,70,,24,30,22,,57,,,46,,,81,,,81,,54
Panama,PAN,PAN,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,131,,,127,,,111,,,81,,,74,,,31,,55
Ecuador,ECU,ECU,40,CONMEBOL,10,4,1,5,10,11,13,1.3,3,,,,,,,,,,,,,,,,39,,,26,,27,36,24,25,39,12,,44,,23,26,17,60
Australia,AUS,AUS,46,AFC,13,2,3,8,11,26,9,0.69,4,,,,,,,,,,14,,,,,,47,,,32,,,48,,26,42,16,17,20,21,32,62,30,36
Austria,AUT,AUT,19,UEFA,29,12,4,13,43,47,40,1.38,7,,4,,,3,15,,,,,7,8,,18,,36,,25,31,23,,61,,,79,,,68,,,42,,26
Egypt,EGY,EGY,65,CAF,4,0,2,2,3,6,2,0.5,2,,13,,,,,,,,,,,,20,,25,,,17,,,43,,,17,,,12,,,36,,45
Armenia,ARM,ARM,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,159,,,111,,,101,,,109,,,100,,,38,,100
