Team,ABRV,Display_ABRV,WC_All_Time,Confederation,MP,W,D,L,GF,GA,PTS,Avg Pts,Part,WC_1930,WC_1934,WC_1938,WC_1950,WC_1954,WC_1958,WC_1962,WC_1966,WC_1970,WC_1974,WC_1978,WC_1982,WC_1986,WC_1990,Qualifiers_1994,FIFA_1994,WC_1994,Qualifiers_1998,FIFA_1998,WC_1998,Qualifiers_2002,FIFA_2002,WC_2002,Qualifiers_2006,FIFA_2006,WC_2006,Qualifiers_2010,FIFA_2010,WC_2010,Qualifiers_2014,FIFA_2014,WC_2014,FIFA_2018
Indonesia,IDN,IDN,69,AFC,1,0,0,1,0,6,0,0,1,,,15,,,,,,,,,,,,,120,,,89,,,92,,,110,,,137,,,157,,164
Puerto Rico,PRI,PUR,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,107,,,171,,,197,,,196,,,166,,,158,,173
Myanmar,MMR,MMR,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,115,,,118,,,153,,,149,,,147,,,159,,138
St Kitts and Nevis,SKN,SKN,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,170,,,122,,,132,,,133,,,151,,,160,,135
Tahiti,TAH,TAH,,OFC,,,,,,,,,,,,,,,,,,,,,,,,,140,,,163,,,128,,,145,,,191,,,161,,157
Liechtenstein,LIE,LIE,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,151,,,165,,,150,,,123,,,149,,,162,,180
Hong Kong,HKG,HKG,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,109,,,139,,,143,,,116,,,140,,,163,,142
Nepal,NPL,NEP,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,128,,,166,,,156,,,169,,,161,,,164,,161
Pakistan,PAK,PAK,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,147,,,156,,,181,,,153,,,165,,,164,,201
Montserrat,MSR,MSR,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,,,202,,,202,,,166,,204
Bangladesh,BGD,BAN,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,130,,,149,,,149,,,140,,,157,,,167,,194
Laos,LAO,LAO,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,154,,,145,,,164,,,172,,,173,,,168,,178
Dominica,DMA,DMA,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,163,,,174,,,183,,,169,,177
Barbados,BRB,BRB,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,98,,,108,,,109,,,119,,,135,,,170,,160
Faroe Islands,FRO,FRO,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,125,,,121,,,119,,,139,,,125,,,171,,90
São Tomé e Príncipe,STP,STP,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,198,,,,,,172,,186
Swaziland,SWZ,SWZ,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,100,,,147,,,124,,,138,,,131,,,173,,134
Comoros,COM,COM,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,174,,149
Bermuda,BER,BER,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,89,,,183,,,168,,,162,,,134,,,175,,178
Chinese Taipei,TPE,TPE,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,162,,,162,,,172,,,156,,,167,,,176,,123
Nicaragua,NIC,NIC,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,160,,,184,,,189,,,157,,,155,,,176,,132
Guam,GUM,GUM,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,,,199,,,203,,,195,,,178,,190
Sri Lanka,LKA,SRI,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,127,,,129,,,142,,,136,,,159,,,179,,200
Solomon Islands,SOL,SOL,,OFC,,,,,,,,,,,,,,,,,,,,,,,,,155,,,137,,,137,,,144,,,170,,,180,,143
Seychelles,SEY,SEY,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,164,,,180,,,194,,,176,,,178,,,181,,188
Curaçao,CUW,CUW,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,,81
Yemen,YEM,YEM,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,103,,,135,,,140,,,132,,,112,,,183,,133
Mauritius,MRI,MRI,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,139,,,157,,,127,,,146,,,172,,,184,,155
South Sudan,SDS,SSD,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,156
Bahamas,BHS,BAH,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,194,,,181,,,186,,206
Mongolia,MNG,MNG,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,179,,,179,,,187,,186
Fiji,FIJ,FIJ,,OFC,,,,,,,,,,,,,,,,,,,,,,,,,97,,,151,,,125,,,142,,,132,,,188,,165
Samoa,SAM,SAM,,OFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,,,165,,,183,,,177,,,189,,197
Vanuatu,VAN,VAN,,OFC,,,,,,,,,,,,,,,,,,,,,,,,,168,,,186,,,170,,,148,,,153,,,190,,162
Cambodia,KHM,CAM,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,171,,,184,,,185,,,190,,166
Timor-Leste,TLS,TLS,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,192,,190
Brunei Darussalam,BRU,BRU,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,158,,,177,,,190,,,193,,,189,,,192,,195
Tonga,TGA,TGA,,OFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,,173,,,187,,,186,,,192,,206
US Virgin Islands,VIR,VIR,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,197,,,199,,,195,,199
Papua New Guinea,PNG,PNG,,OFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,180,,,168,,,202,,,196,,166
Cayman Islands,CAY,CAY,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,141,,,167,,,167,,,182,,,173,,,196,,202
American Samoa,ASA,ASA,,OFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,,,205,,,202,,,198,,192
British Virgin Islands,VGB,VGB,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,162,,,173,,,194,,,198,,204
Andorra,AND,AND,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,141,,,129,,,201,,,200,,130
Eritrea,ERI,ERI,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,171,,,155,,,201,,206
Macau,MAC,MAC,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,170,,,161,,,182,,,192,,,197,,,202,,185
Somalia,SOM,SOM,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,195,,,185,,,173,,,202,,206
Djibouti,DJI,DJI,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,192,,,200,,,188,,,204,,197
Cook Islands,COK,COK,,OFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,179,,,195,,,181,,,205,,192
Anguilla,AIA,AIA,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,196,,,199,,,202,,,206,,206
Bhutan,BTN,BHU,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,190,,,196,,,207,,183
San Marino,SMR,SMR,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,132,,,176,,,159,,,161,,,202,,,207,,203
Turks and Caicos Islands,TCA,TCA,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,204,,,184,,,207,,206
German DR,DDR,DDR,48,,6,2,2,2,5,5,8,1.33,1,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,CS-KM,KVX,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141
Gibraltar,GIB,GIB,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195
Netherlands Antilles,ANT,ANT,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,137,,,150,,,185,,,170,,,154,,,,,
RCS,TCH,TCH,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaire,ZAI,ZAI,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,63,,,63,,,,,,,,,,,,,,
